,ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach,flight_id,departuretime_human,arrivaltime_human,depart_date,arrive_date,depart_timestamp,arrive_timestamp,depart_time_hour_stamp,arrive_time_hour_stamp
68,SWA843,,1487614800,1487617800,KSAT,KHOU,B737,,0,0,143,SWA843-1487399283-airline-0041,2017-02-20 18:20:00,2017-02-20 19:10:00,2017-02-20,2017-02-20,18:20:00,19:10:00,18,19
69,SWA3818,,1487628900,1487637000,KBNA,KHOU,B733,,0,0,143,SWA3818-1487399281-airline-0505,2017-02-20 22:15:00,2017-02-21 00:30:00,2017-02-20,2017-02-21,22:15:00,00:30:00,22,0
70,SWA1021,,1487620800,1487628900,KBNA,KHOU,B738,,0,0,175,SWA1021-1487399280-airline-0305,2017-02-20 20:00:00,2017-02-20 22:15:00,2017-02-20,2017-02-20,20:00:00,22:15:00,20,22
71,SWA1513,,1487590800,1487599200,KBNA,KHOU,B733,,0,0,143,SWA1513-1487399281-airline-0680,2017-02-20 11:40:00,2017-02-20 14:00:00,2017-02-20,2017-02-20,11:40:00,14:00:00,11,14
72,DAL1638,,1487596800,1487605440,KATL,KHOU,,First: Refreshments / Economy: Refreshments,12,0,98,DAL1638-1487399178-airline-0406,2017-02-20 13:20:00,2017-02-20 15:44:00,2017-02-20,2017-02-20,13:20:00,15:44:00,13,15
73,KLM6450,DAL1638,1487596800,1487605440,KATL,KHOU,,First: No meal / Economy: No meal,12,0,98,DAL1638-1487399178-airline-0406,2017-02-20 13:20:00,2017-02-20 15:44:00,2017-02-20,2017-02-20,13:20:00,15:44:00,13,15
74,SWA278,,1487632500,1487636100,KHRL,KHOU,B733,,0,0,143,SWA278-1487399281-airline-0739,2017-02-20 23:15:00,2017-02-21 00:15:00,2017-02-20,2017-02-21,23:15:00,00:15:00,23,0
75,SWA34,,1487615400,1487619000,KHRL,KHOU,B737,,0,0,143,SWA34-1487399280-airline-0440,2017-02-20 18:30:00,2017-02-20 19:30:00,2017-02-20,2017-02-20,18:30:00,19:30:00,18,19
76,SWA295,,1487623800,1487633400,KMDW,KHOU,B738,,0,0,175,SWA295-1487399281-airline-0069,2017-02-20 20:50:00,2017-02-20 23:30:00,2017-02-20,2017-02-20,20:50:00,23:30:00,20,23
77,SWA194,,1487609700,1487619300,KMDW,KHOU,B738,,0,0,175,SWA194-1487399281-airline-0969,2017-02-20 16:55:00,2017-02-20 19:35:00,2017-02-20,2017-02-20,16:55:00,19:35:00,16,19
78,SWA1488,,1487595900,1487605800,KMDW,KHOU,B738,,0,0,175,SWA1488-1487399281-airline-1004,2017-02-20 13:05:00,2017-02-20 15:50:00,2017-02-20,2017-02-20,13:05:00,15:50:00,13,15
79,SWA24,,1487607900,1487611500,KHRL,KHOU,B737,,0,0,143,SWA24-1487399280-airline-0129,2017-02-20 16:25:00,2017-02-20 17:25:00,2017-02-20,2017-02-20,16:25:00,17:25:00,16,17
80,SWA849,,1487594400,1487598000,KHRL,KHOU,B737,,0,0,143,SWA849-1487399283-airline-0713,2017-02-20 12:40:00,2017-02-20 13:40:00,2017-02-20,2017-02-20,12:40:00,13:40:00,12,13
81,SWA1675,,1487589900,1487599500,KMCO,KHOU,B733,,0,0,143,SWA1675-1487399281-airline-0920,2017-02-20 11:25:00,2017-02-20 14:05:00,2017-02-20,2017-02-20,11:25:00,14:05:00,11,14
82,DAL1912,,1487605860,1487614320,KATL,KHOU,MD88,First: Refreshments / Economy: Refreshments,16,0,133,DAL1912-1487399178-airline-0130,2017-02-20 15:51:00,2017-02-20 18:12:00,2017-02-20,2017-02-20,15:51:00,18:12:00,15,18
83,SWA1593,,1487595900,1487605800,KIND,KHOU,B738,,0,0,175,SWA1593-1487399281-airline-0883,2017-02-20 13:05:00,2017-02-20 15:50:00,2017-02-20,2017-02-20,13:05:00,15:50:00,13,15
84,SWA335,,1487610600,1487619600,KJAX,KHOU,B737,,0,0,143,SWA335-1487399281-airline-0678,2017-02-20 17:10:00,2017-02-20 19:40:00,2017-02-20,2017-02-20,17:10:00,19:40:00,17,19
85,SWA1369,,1487608200,1487616900,KATL,KHOU,B737,,0,0,143,SWA1369-1487399281-airline-0162,2017-02-20 16:30:00,2017-02-20 18:55:00,2017-02-20,2017-02-20,16:30:00,18:55:00,16,18
86,SWA894,,1487598000,1487607600,KMCO,KHOU,B737,,0,0,143,SWA894-1487399283-airline-0001,2017-02-20 13:40:00,2017-02-20 16:20:00,2017-02-20,2017-02-20,13:40:00,16:20:00,13,16
87,SWA52,,1487627400,1487636700,KMCO,KHOU,B737,,0,0,143,SWA52-1487399280-airline-0186,2017-02-20 21:50:00,2017-02-21 00:25:00,2017-02-20,2017-02-21,21:50:00,00:25:00,21,0
88,SWA432,,1487621100,1487628300,KMCI,KHOU,B737,,0,0,143,SWA432-1487399282-airline-0385,2017-02-20 20:05:00,2017-02-20 22:05:00,2017-02-20,2017-02-20,20:05:00,22:05:00,20,22
89,SWA10,,1487590500,1487598000,KMCI,KHOU,B737,,0,0,143,SWA10-1487399280-airline-0236,2017-02-20 11:35:00,2017-02-20 13:40:00,2017-02-20,2017-02-20,11:35:00,13:40:00,11,13
90,SIA1483,JBU581,1487619120,1487634540,KJFK,KHOU,E190,,0,0,100,JBU581-1487399170-airline-0052,2017-02-20 19:32:00,2017-02-20 23:49:00,2017-02-20,2017-02-20,19:32:00,23:49:00,19,23
91,QTR4288,JBU581,1487619120,1487634540,KJFK,KHOU,E190,,0,0,100,JBU581-1487399170-airline-0052,2017-02-20 19:32:00,2017-02-20 23:49:00,2017-02-20,2017-02-20,19:32:00,23:49:00,19,23
92,SWA4239,,1487603400,1487606400,KSAT,KHOU,B733,,0,0,137,SWA4239-1487399282-airline-0485,2017-02-20 15:10:00,2017-02-20 16:00:00,2017-02-20,2017-02-20,15:10:00,16:00:00,15,16
93,SWA1524,,1487595300,1487598600,KSAT,KHOU,B733,,0,0,143,SWA1524-1487399281-airline-0041,2017-02-20 12:55:00,2017-02-20 13:50:00,2017-02-20,2017-02-20,12:55:00,13:50:00,12,13
94,SWA3955,,1487602800,1487619600,KBOS,KHOU,B737,,0,0,143,SWA3955-1487399282-airline-0667,2017-02-20 15:00:00,2017-02-20 19:40:00,2017-02-20,2017-02-20,15:00:00,19:40:00,15,19
95,UAE6189,JBU581,1487619120,1487634540,KJFK,KHOU,E190,,0,0,100,JBU581-1487399170-airline-0052,2017-02-20 19:32:00,2017-02-20 23:49:00,2017-02-20,2017-02-20,19:32:00,23:49:00,19,23
96,ELY8647,JBU581,1487619120,1487634540,KJFK,KHOU,E190,,0,0,100,JBU581-1487399170-airline-0052,2017-02-20 19:32:00,2017-02-20 23:49:00,2017-02-20,2017-02-20,19:32:00,23:49:00,19,23
97,ETD8290,JBU581,1487619120,1487634540,KJFK,KHOU,E190,,0,0,100,JBU581-1487399170-airline-0052,2017-02-20 19:32:00,2017-02-20 23:49:00,2017-02-20,2017-02-20,19:32:00,23:49:00,19,23
98,JBU581,,1487619120,1487634540,KJFK,KHOU,E190,,0,0,100,JBU581-1487399170-airline-0052,2017-02-20 19:32:00,2017-02-20 23:49:00,2017-02-20,2017-02-20,19:32:00,23:49:00,19,23
99,SWA853,,1487603100,1487613600,KLAS,KHOU,B733,,0,0,143,SWA853-1487399283-airline-0281,2017-02-20 15:05:00,2017-02-20 18:00:00,2017-02-20,2017-02-20,15:05:00,18:00:00,15,18
100,SWA1718,,1487620500,1487631000,KLAS,KHOU,B738,,0,0,175,SWA1718-1487399281-airline-0447,2017-02-20 19:55:00,2017-02-20 22:50:00,2017-02-20,2017-02-20,19:55:00,22:50:00,19,22
101,SWA4902,,1487627700,1487638200,KLAS,KHOU,B738,,0,0,175,SWA4902-1487399282-airline-0120,2017-02-20 21:55:00,2017-02-21 00:50:00,2017-02-20,2017-02-21,21:55:00,00:50:00,21,0
102,SWA6255,,1487600100,1487610600,KLAS,KHOU,B737,,0,0,143,SWA6255-1487399283-airline-0339,2017-02-20 14:15:00,2017-02-20 17:10:00,2017-02-20,2017-02-20,14:15:00,17:10:00,14,17
103,SWA121,,1487631600,1487638800,KMCI,KHOU,B737,,0,0,143,SWA121-1487399281-airline-0422,2017-02-20 23:00:00,2017-02-21 01:00:00,2017-02-20,2017-02-21,23:00:00,01:00:00,23,1
104,UAE6011,JBU1031,1487600700,1487617260,KBOS,KHOU,A320,,0,12,138,JBU1031-1487399170-airline-0336,2017-02-20 14:25:00,2017-02-20 19:01:00,2017-02-20,2017-02-20,14:25:00,19:01:00,14,19
105,JBU1031,,1487600700,1487617260,KBOS,KHOU,E190,,0,0,100,JBU1031-1487399170-airline-0336,2017-02-20 14:25:00,2017-02-20 19:01:00,2017-02-20,2017-02-20,14:25:00,19:01:00,14,19
106,SWA416,,1487617500,1487624400,KABQ,KHOU,B737,,0,0,143,SWA416-1487399282-airline-0534,2017-02-20 19:05:00,2017-02-20 21:00:00,2017-02-20,2017-02-20,19:05:00,21:00:00,19,21
107,SWA1878,,1487623800,1487629200,KTUL,KHOU,B733,,0,0,143,SWA1878-1487399281-airline-0713,2017-02-20 20:50:00,2017-02-20 22:20:00,2017-02-20,2017-02-20,20:50:00,22:20:00,20,22
108,SWA1116,,1487623500,1487636400,MKJS,KHOU,B737,,0,0,143,SWA1116-1487399281-airline-0273,2017-02-20 20:45:00,2017-02-21 00:20:00,2017-02-20,2017-02-21,20:45:00,00:20:00,20,0
109,SWA1737,,1487618400,1487629500,KLAX,KHOU,B737,,0,0,143,SWA1737-1487399281-airline-0212,2017-02-20 19:20:00,2017-02-20 22:25:00,2017-02-20,2017-02-20,19:20:00,22:25:00,19,22
