,ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach,flight_id,departuretime_human,arrivaltime_human,depart_date,arrive_date,depart_timestamp,arrive_timestamp,depart_time_hour_stamp,arrive_time_hour_stamp
159,SWA43,,1487631600,1487635500,KDAL,KHOU,B733,,0,0,143,SWA43-1487399280-airline-0078,2017-02-20 23:00:00,2017-02-21 00:05:00,2017-02-20,2017-02-21,23:00:00,00:05:00,23,0
160,SWA47,,1487635200,1487639100,KDAL,KHOU,B738,,0,0,175,,2017-02-21 00:00:00,2017-02-21 01:05:00,2017-02-21,2017-02-21,00:00:00,01:05:00,0,1
161,DAL1398,,1487614800,1487623200,KATL,KHOU,MD88,First: Refreshments / Economy: Refreshments,16,0,133,DAL1398-1487399178-airline-0250,2017-02-20 18:20:00,2017-02-20 20:40:00,2017-02-20,2017-02-20,18:20:00,20:40:00,18,20
162,KLM5992,DAL2460,1487625000,1487633220,KATL,KHOU,,Economy: No meal,0,0,117,,2017-02-20 21:10:00,2017-02-20 23:27:00,2017-02-20,2017-02-20,21:10:00,23:27:00,21,23
163,DAL1390,,1487625000,1487633580,KATL,KHOU,,First: Refreshments / Economy: Refreshments,12,0,98,DAL1390-1487399178-airline-0615,2017-02-20 21:10:00,2017-02-20 23:33:00,2017-02-20,2017-02-20,21:10:00,23:33:00,21,23
164,VIR2794,DAL1390,1487625000,1487633580,KATL,KHOU,MD88,First: Snack or brunch / Economy: Refreshments,16,0,133,DAL1390-1487399178-airline-0615,2017-02-20 21:10:00,2017-02-20 23:33:00,2017-02-20,2017-02-20,21:10:00,23:33:00,21,23
165,KLM5669,DAL1390,1487625600,1487633820,KATL,KHOU,,Economy: No meal,0,0,117,,2017-02-20 21:20:00,2017-02-20 23:37:00,2017-02-20,2017-02-20,21:20:00,23:37:00,21,23
166,SWA1833,,1487626800,1487635200,KATL,KHOU,B738,,0,0,175,SWA1833-1487399281-airline-0130,2017-02-20 21:40:00,2017-02-21 00:00:00,2017-02-20,2017-02-21,21:40:00,00:00:00,21,0
167,SWA544,,1487634000,1487642100,KATL,KHOU,B737,,0,0,143,SWA544-1487399283-airline-0541,2017-02-20 23:40:00,2017-02-21 01:55:00,2017-02-20,2017-02-21,23:40:00,01:55:00,23,1
168,SWA1865,,1487606400,1487614200,KSTL,KHOU,B733,,0,0,143,SWA1865-1487399281-airline-0057,2017-02-20 16:00:00,2017-02-20 18:10:00,2017-02-20,2017-02-20,16:00:00,18:10:00,16,18
169,SWA657,,1487620500,1487628000,KSTL,KHOU,B738,,0,0,175,SWA657-1487399283-airline-0068,2017-02-20 19:55:00,2017-02-20 22:00:00,2017-02-20,2017-02-20,19:55:00,22:00:00,19,22
170,SWA705,,1487624400,1487629500,KOKC,KHOU,B738,,0,0,175,SWA705-1487399283-airline-0346,2017-02-20 21:00:00,2017-02-20 22:25:00,2017-02-20,2017-02-20,21:00:00,22:25:00,21,22
171,SWA1564,,1487600100,1487605200,KOKC,KHOU,B737,,0,0,143,SWA1564-1487399281-airline-0856,2017-02-20 14:15:00,2017-02-20 15:40:00,2017-02-20,2017-02-20,14:15:00,15:40:00,14,15
172,SWA3359,,1487605500,1487618400,KOAK,KHOU,B738,,0,0,175,SWA3359-1487399281-airline-0499,2017-02-20 15:45:00,2017-02-20 19:20:00,2017-02-20,2017-02-20,15:45:00,19:20:00,15,19
173,SWA1189,,1487624400,1487637600,KOAK,KHOU,B737,,0,0,143,SWA1189-1487399281-airline-0604,2017-02-20 21:00:00,2017-02-21 00:40:00,2017-02-20,2017-02-21,21:00:00,00:40:00,21,0
174,SWA1707,,1487601900,1487606400,KMSY,KHOU,B737,,0,0,143,SWA1707-1487399281-airline-0372,2017-02-20 14:45:00,2017-02-20 16:00:00,2017-02-20,2017-02-20,14:45:00,16:00:00,14,16
175,SWA28,,1487610300,1487614800,KMSY,KHOU,B737,,0,0,143,SWA28-1487399280-airline-0542,2017-02-20 17:05:00,2017-02-20 18:20:00,2017-02-20,2017-02-20,17:05:00,18:20:00,17,18
176,SWA16,,1487591400,1487604300,KDCA,KHOU,B737,,0,0,143,SWA16-1487399280-airline-0538,2017-02-20 11:50:00,2017-02-20 15:25:00,2017-02-20,2017-02-20,11:50:00,15:25:00,11,15
177,SWA2830,,1487617800,1487631000,KDCA,KHOU,B737,,0,0,143,SWA2830-1487399281-airline-0932,2017-02-20 19:10:00,2017-02-20 22:50:00,2017-02-20,2017-02-20,19:10:00,22:50:00,19,22
178,SWA4795,,1487632200,1487645400,KDCA,KHOU,B737,,0,0,143,SWA4795-1487399282-airline-0102,2017-02-20 23:10:00,2017-02-21 02:50:00,2017-02-20,2017-02-21,23:10:00,02:50:00,23,2
179,SWA1691,,1487627700,1487638500,KSNA,KHOU,B737,,0,0,143,SWA1691-1487399281-airline-0316,2017-02-20 21:55:00,2017-02-21 00:55:00,2017-02-20,2017-02-21,21:55:00,00:55:00,21,0
180,SWA560,,1487614500,1487619000,KMSY,KHOU,B733,,0,0,137,SWA560-1487399283-airline-0202,2017-02-20 18:15:00,2017-02-20 19:30:00,2017-02-20,2017-02-20,18:15:00,19:30:00,18,19
181,SWA550,,1487622300,1487626500,KMSY,KHOU,B733,,0,0,137,SWA550-1487399283-airline-0407,2017-02-20 20:25:00,2017-02-20 21:35:00,2017-02-20,2017-02-20,20:25:00,21:35:00,20,21
182,SWA199,,1487597100,1487605500,KDEN,KHOU,B737,,0,0,143,SWA199-1487399281-airline-0266,2017-02-20 13:25:00,2017-02-20 15:45:00,2017-02-20,2017-02-20,13:25:00,15:45:00,13,15
183,SWA1548,,1487607900,1487616300,KDEN,KHOU,B737,,0,0,143,SWA1548-1487399281-airline-0447,2017-02-20 16:25:00,2017-02-20 18:45:00,2017-02-20,2017-02-20,16:25:00,18:45:00,16,18
184,SWA1745,,1487625300,1487629800,KMSY,KHOU,B737,,0,0,143,SWA1745-1487399281-airline-0459,2017-02-20 21:15:00,2017-02-20 22:30:00,2017-02-20,2017-02-20,21:15:00,22:30:00,21,22
185,SWA4168,,1487628900,1487633400,KMSY,KHOU,B737,,0,0,143,SWA4168-1487399282-airline-0697,2017-02-20 22:15:00,2017-02-20 23:30:00,2017-02-20,2017-02-20,22:15:00,23:30:00,22,23
186,SWA342,,1487624700,1487632800,KDEN,KHOU,B738,,0,0,175,SWA342-1487399281-airline-0508,2017-02-20 21:05:00,2017-02-20 23:20:00,2017-02-20,2017-02-20,21:05:00,23:20:00,21,23
187,SWA1600,,1487630100,1487638500,KDEN,KHOU,B738,,0,0,175,SWA1600-1487399281-airline-0620,2017-02-20 22:35:00,2017-02-21 00:55:00,2017-02-20,2017-02-21,22:35:00,00:55:00,22,0
188,SWA1781,,1487590200,1487598900,KTPA,KHOU,B733,,0,0,143,SWA1781-1487399281-airline-0591,2017-02-20 11:30:00,2017-02-20 13:55:00,2017-02-20,2017-02-20,11:30:00,13:55:00,11,13
189,SWA362,,1487634900,1487637900,KAUS,KHOU,B737,,0,0,143,SWA362-1487399281-airline-0838,2017-02-20 23:55:00,2017-02-21 00:45:00,2017-02-20,2017-02-21,23:55:00,00:45:00,23,0
190,SWA561,,1487626800,1487629800,KAUS,KHOU,B733,,0,0,137,SWA561-1487399283-airline-0404,2017-02-20 21:40:00,2017-02-20 22:30:00,2017-02-20,2017-02-20,21:40:00,22:30:00,21,22
191,SWA1851,,1487615400,1487618400,KAUS,KHOU,B737,,0,0,143,SWA1851-1487399281-airline-0082,2017-02-20 18:30:00,2017-02-20 19:20:00,2017-02-20,2017-02-20,18:30:00,19:20:00,18,19
192,SWA3940,,1487603400,1487606400,KAUS,KHOU,B737,,0,0,143,SWA3940-1487399282-airline-0322,2017-02-20 15:10:00,2017-02-20 16:00:00,2017-02-20,2017-02-20,15:10:00,16:00:00,15,16
193,SWA1861,,1487595000,1487598300,KAUS,KHOU,B737,,0,0,143,SWA1861-1487399281-airline-0522,2017-02-20 12:50:00,2017-02-20 13:45:00,2017-02-20,2017-02-20,12:50:00,13:45:00,12,13
194,SWA1203,,1487602800,1487616600,MROC,KHOU,B737,,0,0,143,SWA1203-1487399281-airline-0425,2017-02-20 15:00:00,2017-02-20 18:50:00,2017-02-20,2017-02-20,15:00:00,18:50:00,15,18
195,SWA881,,1487622900,1487631300,MMSD,KHOU,B737,,0,0,143,SWA881-1487399283-airline-0614,2017-02-20 20:35:00,2017-02-20 22:55:00,2017-02-20,2017-02-20,20:35:00,22:55:00,20,22
196,SWA229,,1487594100,1487598600,KMSY,KHOU,B737,,0,0,143,SWA229-1487399281-airline-0103,2017-02-20 12:35:00,2017-02-20 13:50:00,2017-02-20,2017-02-20,12:35:00,13:50:00,12,13
197,ASA6093,ASH5792,1487609400,1487613720,KDFW,KHOU,CRJ9,,0,0,86,ASH5792-1487399166-airline-0051,2017-02-20 16:50:00,2017-02-20 18:02:00,2017-02-20,2017-02-20,16:50:00,18:02:00,16,18
198,SWA2831,,1487628300,1487636100,MMMX,KHOU,B737,,0,0,143,SWA2831-1487399281-airline-0933,2017-02-20 22:05:00,2017-02-21 00:15:00,2017-02-20,2017-02-21,22:05:00,00:15:00,22,0
199,SWA944,,1487590200,1487597400,MMMX,KHOU,B737,,0,0,143,SWA944-1487399283-airline-0324,2017-02-20 11:30:00,2017-02-20 13:30:00,2017-02-20,2017-02-20,11:30:00,13:30:00,11,13
200,SWA6954,,1487623500,1487631300,MMMX,KHOU,B737,,0,0,143,SWA6954-1487399283-airline-0690,2017-02-20 20:45:00,2017-02-20 22:55:00,2017-02-20,2017-02-20,20:45:00,22:55:00,20,22
