ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach,flight_id
KLM5992,DAL2460,1487625000,1487633220,KATL,KHOU,,Economy: No meal,0,0,117,
DAL1390,,1487625000,1487633580,KATL,KHOU,,First: Refreshments / Economy: Refreshments,12,0,98,DAL1390-1487399178-airline-0615
VIR2794,DAL1390,1487625000,1487633580,KATL,KHOU,MD88,First: Snack or brunch / Economy: Refreshments,16,0,133,DAL1390-1487399178-airline-0615
KLM5669,DAL1390,1487625600,1487633820,KATL,KHOU,,Economy: No meal,0,0,117,
SWA1833,,1487626800,1487635200,KATL,KHOU,B738,,0,0,175,SWA1833-1487399281-airline-0130
SWA544,,1487634000,1487642100,KATL,KHOU,B737,,0,0,143,SWA544-1487399283-airline-0541
SWA1865,,1487606400,1487614200,KSTL,KHOU,B733,,0,0,143,SWA1865-1487399281-airline-0057
SWA657,,1487620500,1487628000,KSTL,KHOU,B738,,0,0,175,SWA657-1487399283-airline-0068
SWA705,,1487624400,1487629500,KOKC,KHOU,B738,,0,0,175,SWA705-1487399283-airline-0346
SWA1564,,1487600100,1487605200,KOKC,KHOU,B737,,0,0,143,SWA1564-1487399281-airline-0856
SWA3359,,1487605500,1487618400,KOAK,KHOU,B738,,0,0,175,SWA3359-1487399281-airline-0499
SWA1189,,1487624400,1487637600,KOAK,KHOU,B737,,0,0,143,SWA1189-1487399281-airline-0604
SWA1707,,1487601900,1487606400,KMSY,KHOU,B737,,0,0,143,SWA1707-1487399281-airline-0372
SWA28,,1487610300,1487614800,KMSY,KHOU,B737,,0,0,143,SWA28-1487399280-airline-0542
SWA16,,1487591400,1487604300,KDCA,KHOU,B737,,0,0,143,SWA16-1487399280-airline-0538
SWA2830,,1487617800,1487631000,KDCA,KHOU,B737,,0,0,143,SWA2830-1487399281-airline-0932
SWA4795,,1487632200,1487645400,KDCA,KHOU,B737,,0,0,143,SWA4795-1487399282-airline-0102
SWA1691,,1487627700,1487638500,KSNA,KHOU,B737,,0,0,143,SWA1691-1487399281-airline-0316
SWA560,,1487614500,1487619000,KMSY,KHOU,B733,,0,0,137,SWA560-1487399283-airline-0202
SWA550,,1487622300,1487626500,KMSY,KHOU,B733,,0,0,137,SWA550-1487399283-airline-0407
SWA199,,1487597100,1487605500,KDEN,KHOU,B737,,0,0,143,SWA199-1487399281-airline-0266
SWA1548,,1487607900,1487616300,KDEN,KHOU,B737,,0,0,143,SWA1548-1487399281-airline-0447
SWA1745,,1487625300,1487629800,KMSY,KHOU,B737,,0,0,143,SWA1745-1487399281-airline-0459
SWA4168,,1487628900,1487633400,KMSY,KHOU,B737,,0,0,143,SWA4168-1487399282-airline-0697
SWA342,,1487624700,1487632800,KDEN,KHOU,B738,,0,0,175,SWA342-1487399281-airline-0508
SWA1600,,1487630100,1487638500,KDEN,KHOU,B738,,0,0,175,SWA1600-1487399281-airline-0620
SWA1781,,1487590200,1487598900,KTPA,KHOU,B733,,0,0,143,SWA1781-1487399281-airline-0591
SWA362,,1487634900,1487637900,KAUS,KHOU,B737,,0,0,143,SWA362-1487399281-airline-0838
SWA561,,1487626800,1487629800,KAUS,KHOU,B733,,0,0,137,SWA561-1487399283-airline-0404
SWA1851,,1487615400,1487618400,KAUS,KHOU,B737,,0,0,143,SWA1851-1487399281-airline-0082
SWA3940,,1487603400,1487606400,KAUS,KHOU,B737,,0,0,143,SWA3940-1487399282-airline-0322
SWA1861,,1487595000,1487598300,KAUS,KHOU,B737,,0,0,143,SWA1861-1487399281-airline-0522
SWA1203,,1487602800,1487616600,MROC,KHOU,B737,,0,0,143,SWA1203-1487399281-airline-0425
SWA881,,1487622900,1487631300,MMSD,KHOU,B737,,0,0,143,SWA881-1487399283-airline-0614
SWA229,,1487594100,1487598600,KMSY,KHOU,B737,,0,0,143,SWA229-1487399281-airline-0103
ASA6093,ASH5792,1487609400,1487613720,KDFW,KHOU,CRJ9,,0,0,86,ASH5792-1487399166-airline-0051
SWA2831,,1487628300,1487636100,MMMX,KHOU,B737,,0,0,143,SWA2831-1487399281-airline-0933
SWA944,,1487590200,1487597400,MMMX,KHOU,B737,,0,0,143,SWA944-1487399283-airline-0324
SWA6954,,1487623500,1487631300,MMMX,KHOU,B737,,0,0,143,SWA6954-1487399283-airline-0690
